Title,Author,Edition,Reviews,Ratings,Synopsis,Genre,BookCategory
Fowl Language: The Struggle Is Real,Brian Gordon,"Paperback,– 10 Oct 2017",5.0 out of 5 stars,1 customer review,"The Internet sensation, Fowl Language Comics, is back with its second book, Fowl Language: The Struggle Is Real, the perfect parenting humor book for anyone who liked Toddlers Are A**holes!

“This Guy’s Comics Hilariously Sum Up the Truth About Being a Parent.”

 —Buzzfeed
He's back, and he's totally got parenting figured out this time. KIDDING.

It's another collection of Fowl Language comics, ripped from the headlines of this author's actual friggin' life.

You'll laugh. You'll cry. You'll swear. It's almost exactly like a day of parenting, except without the annoying little people.",Comics & Graphic Novels (Books),Comics & Mangas
Archie Giant Comics Surprise (Archie Giant Comics Digests),Archie Superstars,"Paperback,– Import, 5 Jun 2018",5.0 out of 5 stars,2 customer reviews,"ARCHIE GIANT COMICS SURPRISE offers popular, proven full-color content at the same price and page count as most black-and-white mass-market paperbacks. This is the next volume of our new series of super-value Archie comics collections featuring 480 pages of stories in the same format as our #1 best-selling Archie Digest kids' magazine series and 1000 Page Digest book series. Designed for venues dedicated to offering customers the best value in kids' books today at an affordable price, such as grocery stores, drug stores, and mass merchants, as well as traditional book outlets.

This volume collects 480 pages of iconic Archie comic stories, featuring the same mix of wild humor, awkward charm and genuine relatability that has kept Archie and the gang popular with kids and families for 75+ years.",Comics & Mangas (Books),Comics & Mangas
Amma Tell Me About Raksha Bandhan!,Bhakti Mathur,"Paperback,– Large Print, Import",5.0 out of 5 stars,1 customer review,"A promise to love and to protect
Is sealed by the special thread of Rakhi.
Learn how this lovey tradition began
With Amma, Klaka and little Kiki.
How Vishnu taught arrogant Bali a lesson;
A story about Indra, the God of lightning.
Learn the power of this special thread and how
Tagore used it to stop brothers from fighting.",Action & Adventure (Books),Action & Adventure
I Have a Dream: Writings And Speeches That Changed The World,"Martin Luther, Jr. King, James M. Washington","Paperback,– 17 Sep 1992",5.0 out of 5 stars,1 customer review,"""His life informed us, his dreams sustain us yet.""*
On August 28, 1963, Martin Luther King Jr. stood in front of the Lincoln Memorial looking out over thousands of troubled Americans who had gathered in the name of civil rights and uttered his now famous words, ""I have a dream . . ."" It was a speech that changed the course of history.
This fortieth-anniversary edition honors Martin Luther King Jr.'s courageous dream and his immeasurable contribution by presenting his most memorable words in a concise and convenient edition. As Coretta Scott King says in her foreword, ""This collection includes many of what I consider to be my husband's most important writings and orations."" In addition to the famed keynote address of the 1963 march on Washington, the renowned civil rights leader's most influential words included here are the ""Letter from a Birmingham Jail,"" the essay ""Pilgrimage to Nonviolence,"" and his last sermon, ""I See the Promised Land,"" preached the day before he was assassinated.
Editor James M. Washington arranged the selections chronologically, providing headnotes for each selection that give a running history of the civil rights movement and related events. In his introduction, Washington assesses King's times and significance.
*From the citation of the posthumous award of the Presidential Medal of Freedom to the Reverend Dr. Martin Luther King Jr., July 4, 1977",Civil Rights,Politics
The History of the Russian Revolution (Penguin Modern Classics),Leon Trotsky,"Paperback,– 8 Mar 2017",5.0 out of 5 stars,2 customer reviews,"Regarded by many as among the most powerful works of history ever written, The History of the Russian Revolution offers an unparalleled account of one of the most pivotal and hotly debated events in world history. This book presents, from the perspective of one of its central actors, the profound liberating character of the early Russian Revolution.

Originally published in three parts, Trotsky's masterpiece is collected here in a single volume. It is still the most vital and inspiring record of the Russian Revolution ever published.",European History,Politics
The Years of Loving You,Ella Harper,"Paperback,– Import, 19 Jan 2016",4.5 out of 5 stars,2 customer reviews,"From the award-winning author of PIECES OF YOU comes this enthralling love story, guaranteed to make you laugh, cry and dream upon a star…
What if your first love was your only love?
When Molly is diagnosed with a life changing illness, it feels like her whole world has come crashing down. She hopes the news will make her marriage to Sam stronger. But why does Molly always call best friend Ed in a crisis?
Ed. The very same Ed that Molly fell in love with at a party when they were teenagers, underneath a star-filled sky. Then life took them in very different directions. They could only ever be friends.
Suddenly Molly starts to question every decision she’s ever made. What if they could turn back the clock? Back to the very beginning. When the only certainty they shared was each other …",Romance (Books),Romance
The People Vs Tech: How the internet is killing democracy (and how we save it),Jamie Bartlett,"Paperback,– 7 May 2018",4.5 out of 5 stars,8 customer reviews,"**Winner of the 2019 Transmission Prize**
**Longlisted for the 2019 Orwell Prize for Political Writing**

‘A superb book by one of the world’s leading experts on the digital revolution’ David Patrikarakos, Literary Review

‘This book could not have come at a better moment... The People Vs Tech makes clear that there is still time – just – for us to take back control’ - Camilla Cavendish, Sunday Times

The internet was meant to set us free.

Tech has radically changed the way we live our lives. But have we unwittingly handed too much away to shadowy powers behind a wall of code, all manipulated by a handful of Silicon Valley utopians, ad men, and venture capitalists? And, in light of recent data breach scandals around companies like Facebook and Cambridge Analytica, what does that mean for democracy, our delicately balanced system of government that was created long before big data, total information and artificial intelligence? In this urgent polemic, Jamie Bartlett argues that through our unquestioning embrace of big tech, the building blocks of democracy are slowly being removed. The middle class is being eroded, sovereign authority and civil society is weakened, and we citizens are losing our critical faculties, maybe even our free will.

The People Vs Tech is an enthralling account of how our fragile political system is being threatened by the digital revolution. Bartlett explains that by upholding six key pillars of democracy, we can save it before it is too late. We need to become active citizens; uphold a shared democratic culture; protect free elections; promote equality; safeguard competitive and civic freedoms; and trust in a sovereign authority. This essential book shows that the stakes couldn’t be higher and that, unless we radically alter our course, democracy will join feudalism, supreme monarchies and communism as just another political experiment that quietly disappeared.",Action & Adventure (Books),Action & Adventure
Blue Dahlia - Number 1 (Reissue),Nora Roberts,"Paperback,– 4 Feb 2016",4.0 out of 5 stars,3 customer reviews,"Recently widowed, Stella Rothchild is no stranger to the ghosts of the past, but the move from Michigan back to her roots near Memphis, Tennessee is supposed to be about the future. Her two energetic young sons are thriving in their new school. Stella's got a great job managing successful nursery 'In the Garden' and an interesting boss and landlady in local legend Roz Harper.
She even has a new friend in Hayley Phillips, the feisty young pregnant woman who turns up at Harper House, Stella's new home, looking for a job. More than that, Stella feels an instant attraction to 'In the Garden's' landscaper, Logan Kitridge, who gets under her skin and makes her feel truly alive for the first time in years.
But there is someone at Harper House who isn't happy about Stella's growing feelings for Logan - the Harper Bride, an unidentified woman whose grief and rage have kept her spirit alive long past the death of her body. Love and loss broke her mind, and in her madness, she will stop at nothing to destroy the new passion that Logan and Stella have found.",Action & Adventure (Books),Action & Adventure
Passenger,Alexandra Bracken,"Paperback,– 7 Jun 2016",3.7 out of 5 stars,15 customer reviews,"Fans of Outlander and Red Queen will be swept away by this epic New York Times bestselling story of love, adventure and deceit. In one devastating night, Etta Spencer loses everything she knows and loves. Thrust into an unfamiliar world by a stranger with a dangerous agenda, Etta is certain of only one thing: she has travelled not just miles but years from home. Nicholas Carter is content with his life at sea, free from the Ironwoods - a powerful family in the Colonies - and the servitude he's known at their hands. But with the arrival of an unusual passenger on his ship comes the insistent pull of the past he can't escape and the family that won't let him go. Now the Ironwoods are searching for a stolen object of untold value, one they believe only Etta, his passenger, can find. Together, Etta and Nicholas embark on a perilous journey across centuries and continents, piecing together clues left behind by the traveller who will do anything to keep the object out of the Ironwoods' grasp. But as they get closer to their target, treacherous forces threaten to separate Etta not only from Nicholas but from her path home forever.",Children's Historical Fiction (Books),Romance
Fearless Nadia,Dorothee Wenner,"Paperback,– 28 Feb 2005",5.0 out of 5 stars,1 customer review,"In 1935, a young blonde girl made her first appearance on the Indian screen. Riding like the devil, swinging on chandeliers, sporting a mask and tight-fitting shorts and brandishing a whip, she drove audiences into raptures. The film was Hunterwali, the girl ‘Fearless’ Nadia. For more than a decade after that she remained one of the top Indian film stars as she wielded revolvers, ran along the roofs of rushing trains, beat up men and played with lions. The Fearless Nadia films, a shimmering mixture of action, eroticism and progressive ideas, were unlike anything Indian audiences had seen so far. Coming at a time when India was struggling for independence, these films also carried subtle nationalist propaganda as Fearless Nadia, the daughter of a British soldier, became the cult cinematic symbol of the Indian freedom struggle.",Biographies & Autobiographies (Books),"Arts, Film & Photography"
Learn C# in One Day and Learn It Well: C# for Beginners With Hands-On Project: Volume 3 (Learn Coding Fast With Hands-on Project),Jamie Chan,"Paperback,– 27 Oct 2015",3.3 out of 5 stars,5 customer reviews,"Master C# Programming with a unique Hands-On Project (Updated for VS Community 2017)

Have you always wanted to learn computer programming but are afraid it'll be too difficult for you? Or perhaps you know other programming languages but are interested in learning the C# language fast?
This book is for you. You no longer have to waste your time and money learning C# from boring books that are 600 pages long, expensive online courses or complicated C# tutorials that just leave you more confused.
What this book offers...

C# for Beginners
Complex concepts are broken down into simple steps to ensure that you can easily master the C# language even if you have never coded before.
Carefully Chosen C# Examples
Examples are carefully chosen to illustrate all concepts. In addition, the output for all examples are provided immediately so you do not have to wait till you have access to your computer to test the examples.
Careful selection of topics
Topics are carefully selected to give you a broad exposure to C#, while not overwhelming you with information overload. These topics include object-oriented programming concepts, error handling techniques, file handling techniques and more.
Learn The C# Programming Language Fast
Concepts are presented in a ""to-the-point"" style to cater to the busy individual. With this book, you can learn C# in just one day and start coding immediately.
How is this book different...

The best way to learn C# is by doing. At the end of the book, you'll be guided through a unique project that requires the application of all the concepts taught previously. Working through the project will not only help you see how it all ties together, it'll also give you an immense sense of achievement and the exhilaration of turning lines of code into a finished product that you can be proud of!
Are you ready to dip your toes into the exciting world of C# coding? This book is for you. Click the ""Add to Cart"" button to buy it now.
What you'll learn:

Introduction to C#- What is C#? - How to install and run Visual Studio Community 2015?
Data types and Operators - What are the common data types in C#? - What are arrays and lists? - How to format C# strings - What is a value type vs reference type? - What are the common C# operators?
Object Oriented Programming - What is object oriented programming? - How to write your own classes - What are fields, properties, methods and constructors? - What is encapsulation, inheritance and polymorphism? - What is an abstract class and interface? - What is an enum and struct?
Controlling the Flow of a Program- What are condition statements? - How to use control flow statements in C# - What are jump statements? - How to handle errors and exceptions
and Others...- How to accept user inputs and display outputs - How to use LINQ to save yourself from hours of work - How to work with external files ...and so much more....

Finally, you'll be guided through a hands-on project that requires the application of all the topics covered.
Click the BUY button at the top of this page now to start learning C#. Learn it fast and learn it well.",Design Pattern Programming,"Computing, Internet & Digital Media"
I Know Who You Are,Alice Feeney,"Paperback,– 31 May 2019",1.0 out of 5 stars,1 customer review,"Aimee Sinclair: The actress everyone thinks they know but can’t remember where from. But I know exactly who you are. I know what you’ve done. And I am watching you. When Aimee comes home and discovers her husband is missing, she doesn’t seem to know what to do or how to act. The police think she’s hiding something and they’re right, she is – but perhaps not what they thought. Aimee has a secret she’s never shared and yet, she suspects that someone knows. As she struggles to keep her career and sanity intact, her past comes back to haunt her in ways more dangerous than she could have ever imagined. I know who you are will leave your heart pounding and your pulse racing. This is the most twisted thriller you’ll read all year.",Contemporary Fiction (Books),"Crime, Thriller & Mystery"
Bhagwaan Ke Pakwaan: Food of the Gods,Devang Singh,"Paperback,– 4 Feb 2019",3.7 out of 5 stars,8 customer reviews,"The rice beer bellies of a Christian village in Meghalaya; food fed to departed Zoroastrian souls; a Kolkata-based Jewish community in decline; Tibetan monks who first serve Preta, the hungry ghost; and fifty-six-course feasts of the Jagannath temple-these are the stories in Bhagwan Ke Pakwaan (or, food of the gods), a cookbook-cum-travelogue exploring the connection between food and faith through the communities of India. There are legends and lore, angsty perspectives, tangential anecdotes, a couple of life lessons and a whole lot of food.",Food & Lodging,Humour
Bird Box Film tie-in edition,Josh Malerman,"Paperback,– 28 Feb 2019",4.0 out of 5 stars,14 customer reviews,"Now a major film if you’ve seen what’s out there…it’s already too late Malorie raises the children The only way she can: indoors, with the doors locked, the curtains closed, and mattresses nailed over the Windows. The children sleep in the bedroom across the hall, but soon she will have to wake them and blindfold them. Today they will risk everything. Today they will leave the house. Josh malerman’s new York Times bestselling bird box is a terrifying psychological thriller that will haunt you long after reading.",Horror (Books),"Crime, Thriller & Mystery"
Who Let the Gods Out?,Maz Evans,"Paperback,– Import, 2 Feb 2017",5.0 out of 5 stars,1 customer review,"The first book in the hilarious bestselling WHO LET THE GODS OUT series, shortlisted for the Waterstones Children's Book Prize!

'I totally fell in love with Elliot and the gods, and I think you're all going to love them too.' ROBIN STEVENS
'One of the funniest new voices in children's literature. The laughs come thick and fast' DAVID SOLOMONS

Elliot's mum is ill and his home is under threat, but a shooting star crashes to earth and changes his life forever. The star is Virgo - a young Zodiac goddess on a mission. But the pair accidentally release Thanatos, a wicked death daemon imprisoned beneath Stonehenge, and must then turn to the old Olympian gods for help. After centuries of cushy retirement on earth, are Zeus and his crew up to the task of saving the world - and solving Elliot's problems too?

If you loved WHO LET THE GODS OUT?, check out book 2: SIMPLY THE QUEST!",Software & Business Applications (Books),Humour
Lost in Translation Note Cards: Untranslatable Words from Around the World,Ella Frances Sanders,"Cards,– 6 Dec 2016",5.0 out of 5 stars,1 customer review,"Based on the New York Times bestselling book Lost in Translation, this beautifully produced box of note cards and envelopes feature the charming and whimsical illustrated definitions of portmanteau words the author discovered in other languages and cultures around the world.

The words featured on each note card deal with emotions relating to love and friendship to extend the note cards' use beyond Valentine's Day. For the lover, killig, in Tagalog, means the feeling of butterflies in your stomach, usually when something romantic or cute takes place. For the friend, in appreciation: nunchi, the subtle, often unnoticed art of listening and gauging another's mood.",Linguistics (Books),"Language, Linguistics & Writing"
Fairytale,Danielle Steel,"Paperback,– 9 Aug 2018",4.2 out of 5 stars,5 customer reviews,"In Fairytale, Danielle Steel weaves a captivating story of a daughter’s love and courage, and the hope that good really can prevail over evil. Camille Lammenais had a perfect childhood growing up in California’s beautiful Napa Valley, surrounded by acres of her family’s vineyards. Her parents, Christophe and Joy, still deeply in love after two decades of marriage, have built a renowned winery and chateau inspired by Christophe’s native Bordeaux. After graduating, Camille returns to fulfil her lifetime ambition – helping to run Chateau Joy. But the fairytale suddenly ends with Joy’s death. Six months after losing his wife, Christophe is easy prey for a mysterious, charming French countess visiting the valley. Camille, still grieving for her mother, is shocked that her father risks being trapped, and cannot seem to see past the alluring looks, designer clothes and elegant manners. As Camille’s world falls apart, it will take all of her strength and all the help she can get to fight for her family’s legacy.",Romance (Books),Romance
Periodization Training for Sports,Tudor Bompa,"Paperback,– 17 Feb 2015",5.0 out of 5 stars,1 customer review,"This is the pioneering author's latest edition. Tudor Bompa pioneered many of the breakthroughs in modern training methods, proving long ago that it's not only how much and how hard an athlete works but also when and what work is done that determine an athlete's conditioning level. In this new edition of Periodization Training for Sports, he teams with strength and conditioning expert Carlo Buzzichelli to demonstrate how to use periodized workouts to peak at the optimal time. Coaches and athletes in 35 sports have at their fingertips a verified programme designed to produce the best results. Containing plenty of ready-made training schedules, the book is an excellent conditioning planner for those wanting to know what works, why it works and when it works, both in the training room and on the practice field.",Sports Training & Coaching (Books),Sports
KP: The Autobiography,Kevin Pietersen,"Paperback,– 9 Dec 2014",4.1 out of 5 stars,36 customer reviews,"The fascinating life story of professional cricketer Kevin Pietersen, MBE, from his childhood in South Africa to his recent experiences as one of the leading lights in the world of international cricket.
Kevin was dropped from the England squad in February of this year, seemingly calling time on an international career that began nearly ten years earlier. The decision puzzled many observers - although the England team had failed miserably in the Ashes tour of 2013-14, Kevin was the tourists' leading run scorer across the series, and he remains the country's highest run scorer of all time across all formats of the game.
This autumn Kevin will reveal all in his autobiography, telling the stories behind the many other highs and lows of his incredible career. Giving readers the full story of his life, from his childhood in South Africa to his recent experiences as one of the leading lights in the world of international cricket, this will be an autobiography that entertains and fascinates readers in equal measure.",Biographies & Autobiographies (Books),"Biographies, Diaries & True Accounts"
Langenscheidt bilingual dictionaries: Langenscheidt Standard German Dictionary (Langenscheidt Standard Dictionaries),Olga Lecaye,"Paperback,– 1 Apr 2011",5.0 out of 5 stars,1 customer review,"The leading classroom reference and the favorite of students and teachers in high schools and colleges, this dictionary offers a wealth of entries in a clear, simple and easy-to-use layout.  130,000 references  All headwords in blue for quick reference  Broad range of entries including idiomatic expressions and illustrative phrases  Specialist terms from many different fields  Detailed grammar information  The authoritative reference work for serious users",Dictionaries,"Language, Linguistics & Writing"
